County,Date,New Cases,New Positive Tests,Total Test Encounters
Hawaii,2020-02-28,0,0,0
Honolulu,2020-02-28,0,0,0
Kauai,2020-02-28,0,0,0
Maui,2020-02-28,0,0,0
Missing,2020-02-28,0,0,2
Hawaii,2020-02-29,0,0,0
Honolulu,2020-02-29,0,0,0
Kauai,2020-02-29,0,0,0
Maui,2020-02-29,0,0,0
Missing,2020-02-29,0,0,0
Hawaii,2020-03-01,0,0,0
Honolulu,2020-03-01,0,0,0
Kauai,2020-03-01,0,0,0
Maui,2020-03-01,0,0,0
Missing,2020-03-01,0,0,0
Hawaii,2020-03-02,0,0,0
Honolulu,2020-03-02,0,0,1
Kauai,2020-03-02,0,0,0
Maui,2020-03-02,0,0,0
Missing,2020-03-02,0,0,0
Hawaii,2020-03-03,0,0,1
Honolulu,2020-03-03,0,0,2
Kauai,2020-03-03,0,0,0
Maui,2020-03-03,0,0,1
Missing,2020-03-03,0,0,0
Hawaii,2020-03-04,0,0,0
Honolulu,2020-03-04,0,0,0
Kauai,2020-03-04,0,0,0
Maui,2020-03-04,0,0,0
Missing,2020-03-04,0,0,0
Hawaii,2020-03-05,0,0,0
Honolulu,2020-03-05,0,0,0
Kauai,2020-03-05,0,0,0
Maui,2020-03-05,0,0,0
Missing,2020-03-05,0,0,0
Hawaii,2020-03-06,0,0,0
Honolulu,2020-03-06,1,1,2
Kauai,2020-03-06,0,0,0
Maui,2020-03-06,0,0,0
Missing,2020-03-06,0,0,0
Hawaii,2020-03-07,0,0,0
Honolulu,2020-03-07,0,0,2
Kauai,2020-03-07,0,0,0
Maui,2020-03-07,0,0,0
Missing,2020-03-07,0,0,0
Hawaii,2020-03-08,0,0,0
Honolulu,2020-03-08,1,1,1
Kauai,2020-03-08,0,0,0
Maui,2020-03-08,0,0,0
Missing,2020-03-08,0,0,0
Hawaii,2020-03-09,0,0,0
Honolulu,2020-03-09,1,0,1
Kauai,2020-03-09,0,0,0
Maui,2020-03-09,1,0,0
Missing,2020-03-09,0,0,2
Hawaii,2020-03-10,0,0,0
Honolulu,2020-03-10,0,0,0
Kauai,2020-03-10,0,0,0
Maui,2020-03-10,0,0,0
Missing,2020-03-10,0,0,1
Hawaii,2020-03-11,0,0,0
Honolulu,2020-03-11,1,0,4
Kauai,2020-03-11,0,0,0
Maui,2020-03-11,0,0,0
Missing,2020-03-11,0,0,1
Hawaii,2020-03-12,0,0,3
Honolulu,2020-03-12,0,0,3
Kauai,2020-03-12,0,0,0
Maui,2020-03-12,0,0,1
Missing,2020-03-12,0,0,0
Hawaii,2020-03-13,0,0,3
Honolulu,2020-03-13,0,0,24
Kauai,2020-03-13,2,2,2
Maui,2020-03-13,0,0,1
Missing,2020-03-13,0,0,1
Hawaii,2020-03-14,0,0,6
Honolulu,2020-03-14,3,2,103
Kauai,2020-03-14,0,0,1
Maui,2020-03-14,3,1,12
Missing,2020-03-14,0,0,7
Hawaii,2020-03-15,0,0,19
Honolulu,2020-03-15,3,2,58
Kauai,2020-03-15,0,0,1
Maui,2020-03-15,1,1,29
Missing,2020-03-15,0,0,10
Hawaii,2020-03-16,1,0,28
Honolulu,2020-03-16,2,1,104
Kauai,2020-03-16,0,0,23
Maui,2020-03-16,1,0,6
Missing,2020-03-16,0,0,16
Hawaii,2020-03-17,1,1,31
Honolulu,2020-03-17,6,2,109
Kauai,2020-03-17,0,0,35
Maui,2020-03-17,1,1,27
Missing,2020-03-17,0,0,31
Hawaii,2020-03-18,0,0,21
Honolulu,2020-03-18,8,5,316
Kauai,2020-03-18,0,0,8
Maui,2020-03-18,3,2,60
Missing,2020-03-18,0,0,32
Hawaii,2020-03-19,0,0,58
Honolulu,2020-03-19,15,14,350
Kauai,2020-03-19,1,1,105
Maui,2020-03-19,0,0,91
Missing,2020-03-19,0,0,46
Hawaii,2020-03-20,2,2,83
Honolulu,2020-03-20,10,5,505
Kauai,2020-03-20,0,0,44
Maui,2020-03-20,2,2,88
Missing,2020-03-20,0,0,42
Hawaii,2020-03-21,0,0,72
Honolulu,2020-03-21,6,5,282
Kauai,2020-03-21,0,0,21
Maui,2020-03-21,3,2,65
Missing,2020-03-21,0,0,42
Hawaii,2020-03-22,2,2,136
Honolulu,2020-03-22,13,11,337
Kauai,2020-03-22,1,1,58
Maui,2020-03-22,1,1,44
Missing,2020-03-22,0,0,32
Hawaii,2020-03-23,1,0,96
Honolulu,2020-03-23,17,13,335
Kauai,2020-03-23,0,0,49
Maui,2020-03-23,3,1,30
Missing,2020-03-23,0,0,41
Hawaii,2020-03-24,0,0,21
Honolulu,2020-03-24,8,6,245
Kauai,2020-03-24,1,1,6
Maui,2020-03-24,2,1,46
Missing,2020-03-24,0,0,19
Hawaii,2020-03-25,0,0,27
Honolulu,2020-03-25,15,11,372
Kauai,2020-03-25,0,0,26
Maui,2020-03-25,2,1,69
Missing,2020-03-25,0,0,21
Hawaii,2020-03-26,2,2,124
Honolulu,2020-03-26,13,10,447
Kauai,2020-03-26,0,0,30
Maui,2020-03-26,2,2,77
Missing,2020-03-26,0,0,52
Hawaii,2020-03-27,5,5,291
Honolulu,2020-03-27,21,18,578
Kauai,2020-03-27,6,6,89
Maui,2020-03-27,1,0,126
Missing,2020-03-27,0,0,71
Hawaii,2020-03-28,5,5,243
Honolulu,2020-03-28,18,16,616
Kauai,2020-03-28,1,1,35
Maui,2020-03-28,7,6,146
Missing,2020-03-28,0,0,146
Hawaii,2020-03-29,0,1,54
Honolulu,2020-03-29,25,22,485
Kauai,2020-03-29,0,0,23
Maui,2020-03-29,4,4,60
Missing,2020-03-29,0,0,62
Hawaii,2020-03-30,0,0,33
Honolulu,2020-03-30,20,17,368
Kauai,2020-03-30,0,0,8
Maui,2020-03-30,3,0,15
Missing,2020-03-30,0,0,66
Hawaii,2020-03-31,2,2,239
Honolulu,2020-03-31,29,26,966
Kauai,2020-03-31,0,0,46
Maui,2020-03-31,2,1,27
Missing,2020-03-31,0,0,81
Hawaii,2020-04-01,0,0,135
Honolulu,2020-04-01,21,21,580
Kauai,2020-04-01,1,1,74
Maui,2020-04-01,1,0,83
Missing,2020-04-01,0,0,39
Hawaii,2020-04-02,2,2,104
Honolulu,2020-04-02,18,18,555
Kauai,2020-04-02,2,2,49
Maui,2020-04-02,5,5,160
Missing,2020-04-02,0,0,76
Hawaii,2020-04-03,2,2,161
Honolulu,2020-04-03,12,11,431
Kauai,2020-04-03,0,0,45
Maui,2020-04-03,3,3,91
Missing,2020-04-03,0,0,29
Hawaii,2020-04-04,0,0,41
Honolulu,2020-04-04,9,8,234
Kauai,2020-04-04,1,1,28
Maui,2020-04-04,5,4,115
Missing,2020-04-04,0,0,27
Hawaii,2020-04-05,1,0,138
Honolulu,2020-04-05,13,14,455
Kauai,2020-04-05,1,1,24
Maui,2020-04-05,2,2,46
Missing,2020-04-05,0,0,36
Hawaii,2020-04-06,1,1,59
Honolulu,2020-04-06,19,17,603
Kauai,2020-04-06,1,1,24
Maui,2020-04-06,3,3,70
Missing,2020-04-06,0,0,69
Hawaii,2020-04-07,3,2,50
Honolulu,2020-04-07,15,15,558
Kauai,2020-04-07,1,1,38
Maui,2020-04-07,6,6,47
Missing,2020-04-07,0,0,54
